problem_id,route,run_id,attempt_id,c,success,tau,token_multiset_dice,token_sequence_ratio,ast_tsed,ast_status
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,0,0,,,,,not_applicable
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,1,0,,,,,not_applicable
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,2,0,,,,,not_applicable
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,3,0,,,,,not_applicable
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,4,0,,,,,not_applicable
IPOP_10988,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,5,0,,,,,not_applicable
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,0,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,1,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,2,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,3,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,4,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,5,1,2,0.1454545454545455,0.15454545454545454,0.27192982456140347,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,0,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,1,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,2,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,3,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,4,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_10988,cpp-to-python,v1-qwen25-7b-p1-r1,attempt-001,5,1,3,0.33913043478260874,0.6086956521739131,0.9210526315789473,measured
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,0,0,,,,,not_applicable
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,1,0,,,,,not_applicable
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,2,0,,,,,not_applicable
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,3,0,,,,,not_applicable
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,4,0,,,,,not_applicable
IPOP_1158,cpp-to-c,v1-qwen25-7b-p1-r1,attempt-001,5,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,0,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,1,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,2,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,3,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,4,0,,,,,not_applicable
IPOP_1158,cpp-to-java,v1-qwen25-7b-p1-r1,attempt-001,5,0,,,,,not_applicable
